spamminess,word_total,spam_count,bigram_proportion,spam_auto
1.0,2,0,0.0,0
1.0,2,0,0.0,0
0.0,8,0,0.0,0
0.0,28,0,0.0,0
1.0,2,0,0.0,0
0.0,14,0,0.0,0
0.0,3,0,0.0,0
0.0,7,0,0.0,0
1.0,1,0,0.0,0
0.0,3,0,0.0,0
0.0,12,1,8.333333333333332,0
0.0,5,1,20.0,0
0.0,8,1,12.5,0
0.0,13,1,7.6923076923076925,0
0.0,1,0,0.0,0
0.0,4,0,0.0,0
0.0,2,0,0.0,0
1.0,2,0,0.0,0
0.0,5,1,20.0,0
0.0,5,1,20.0,0
0.0,63,14,22.22222222222222,0
1.0,2,0,0.0,0
0.0,1,1,100.0,1
0.0,1,0,0.0,0
1.0,1,0,0.0,0
1.0,1,0,0.0,0
0.0,5,1,20.0,0
0.0,11,2,18.181818181818183,0
0.0,1,1,100.0,1
1.0,1,0,0.0,0
0.0,2,0,0.0,0
0.0,3,1,33.33333333333333,0
1.0,1,1,100.0,1
1.0,2,0,0.0,0
1.0,2,0,0.0,0
1.0,2,0,0.0,0
0.0,9,2,22.22222222222222,0
0.0,2,0,0.0,0
1.0,2,0,0.0,0
1.0,2,0,0.0,0
0.0,3,0,0.0,0
1.0,2,0,0.0,0
0.0,3,0,0.0,0
0.0,2,0,0.0,0
0.0,3,0,0.0,0
0.0,13,0,0.0,0
1.0,2,0,0.0,0
0.0,5,1,20.0,0
1.0,2,0,0.0,0
0.0,4,0,0.0,0
0.0,2,0,0.0,0
0.0,6,1,16.666666666666664,0
0.0,1,0,0.0,0
1.0,1,1,100.0,1
0.0,6,1,16.666666666666664,0
0.0,12,3,25.0,0
0.0,8,0,0.0,0
0.0,2,0,0.0,0
0.0,35,7,20.0,0
0.0,9,1,11.11111111111111,0
0.0,10,4,40.0,0
0.0,17,1,5.88235294117647,0
0.0,2,0,0.0,0
1.0,1,0,0.0,0
0.0,6,0,0.0,0
1.0,1,0,0.0,0
0.0,16,2,12.5,0
0.0,1,0,0.0,0
0.0,92,5,5.434782608695652,0
0.0,8,2,25.0,0
0.0,14,1,7.142857142857142,0
0.0,6,0,0.0,0
0.0,5,1,20.0,0
0.0,28,5,17.857142857142858,0
0.0,22,4,18.181818181818183,0
0.0,5,1,20.0,0
0.0,28,5,17.857142857142858,0
0.0,28,5,17.857142857142858,0
0.0,7,0,0.0,0
0.0,28,5,17.857142857142858,0
0.0,5,1,20.0,0
0.0,16,0,0.0,0
0.0,5,0,0.0,0
0.0,4,0,0.0,0
0.0,2,0,0.0,0
1.0,1,0,0.0,0
0.0,3,0,0.0,0
0.0,2,0,0.0,0
1.0,2,0,0.0,0
1.0,1,1,100.0,1
1.0,2,0,0.0,0
0.0,5,0,0.0,0
1.0,1,1,100.0,1
0.0,4,1,25.0,0
0.0,7,0,0.0,0
0.0,1,0,0.0,0
1.0,2,0,0.0,0
0.0,10,2,20.0,0
0.0,14,3,21.428571428571427,0
1.0,2,0,0.0,0
0.0,11,0,0.0,0
0.0,3,0,0.0,0
0.0,10,2,20.0,0
0.0,16,1,6.25,0
0.0,7,2,28.57142857142857,0
0.0,10,2,20.0,0
0.0,4,1,25.0,0
0.0,2,0,0.0,0
0.0,2,0,0.0,0
0.0,2,0,0.0,0
0.0,8,0,0.0,0
0.0,8,0,0.0,0
0.0,5,0,0.0,0
0.0,14,5,35.714285714285715,0
0.0,13,1,7.6923076923076925,0
0.0,12,1,8.333333333333332,0
0.0,2,0,0.0,0
0.0,19,1,5.263157894736842,0
0.0,10,3,30.0,0
0.0,5,0,0.0,0
0.0,4,1,25.0,0
0.0,15,0,0.0,0
0.0,2,0,0.0,0
1.0,1,0,0.0,0
0.0,12,2,16.666666666666664,0
0.0,10,0,0.0,0
0.0,5,1,20.0,0
0.0,6,0,0.0,0
0.0,3,1,33.33333333333333,0
1.0,2,0,0.0,0
0.0,5,2,40.0,0
1.0,1,1,100.0,1
0.0,3,0,0.0,0
0.0,1,0,0.0,0
0.0,4,0,0.0,0
0.0,9,1,11.11111111111111,0
0.0,7,3,42.857142857142854,0
0.0,10,3,30.0,0
0.0,5,2,40.0,0
0.0,3,0,0.0,0
0.0,15,1,6.666666666666667,0
0.0,5,0,0.0,0
0.0,6,0,0.0,0
0.0,2,0,0.0,0
1.0,1,0,0.0,0
0.0,13,0,0.0,0
0.0,1,0,0.0,0
0.0,17,6,35.294117647058826,0
0.0,17,6,35.294117647058826,0
0.0,17,6,35.294117647058826,0
0.0,14,1,7.142857142857142,0
0.0,17,0,0.0,0
0.0,17,6,35.294117647058826,0
0.0,14,1,7.142857142857142,0
1.0,2,0,0.0,0
0.0,3,0,0.0,0
0.0,17,1,5.88235294117647,0
0.0,15,3,20.0,0
0.0,2,1,50.0,1
0.0,17,3,17.647058823529413,0
0.0,1,0,0.0,0
0.0,7,1,14.285714285714285,0
0.0,5,1,20.0,0
0.0,3,1,33.33333333333333,0
0.0,4,0,0.0,0
0.0,6,1,16.666666666666664,0
0.0,10,0,0.0,0
1.0,1,0,0.0,0
1.0,1,0,0.0,0
1.0,2,0,0.0,0
0.0,4,0,0.0,0
0.0,1,1,100.0,1
0.0,5,1,20.0,0
0.0,3,0,0.0,0
0.0,8,2,25.0,0
0.0,11,4,36.36363636363637,0
0.0,13,3,23.076923076923077,0
1.0,2,0,0.0,0
0.0,20,1,5.0,0
0.0,10,1,10.0,0
0.0,11,0,0.0,0
0.0,7,0,0.0,0
0.0,10,1,10.0,0
1.0,2,0,0.0,0
0.0,3,1,33.33333333333333,0
0.0,5,1,20.0,0
0.0,1,0,0.0,0
0.0,22,0,0.0,0
0.0,5,3,60.0,1
0.0,6,0,0.0,0
0.0,14,2,14.285714285714285,0
0.0,11,0,0.0,0
1.0,2,0,0.0,0
0.0,12,0,0.0,0
0.0,4,2,50.0,1
0.0,17,1,5.88235294117647,0
0.0,17,1,5.88235294117647,0
0.0,17,1,5.88235294117647,0
1.0,2,0,0.0,0
0.0,8,2,25.0,0
1.0,2,0,0.0,0
1.0,2,0,0.0,0
0.0,2,0,0.0,0
0.0,8,0,0.0,0
0.0,6,1,16.666666666666664,0
0.0,7,0,0.0,0
0.0,2,0,0.0,0
0.0,9,0,0.0,0
0.0,2,0,0.0,0
0.0,7,2,28.57142857142857,0
0.0,14,1,7.142857142857142,0
0.0,14,1,7.142857142857142,0
0.0,15,1,6.666666666666667,0
0.0,20,1,5.0,0
0.0,4,0,0.0,0
0.0,8,0,0.0,0
0.0,8,0,0.0,0
0.0,10,0,0.0,0
0.0,20,1,5.0,0
0.0,14,2,14.285714285714285,0
0.0,11,5,45.45454545454545,0
0.0,14,2,14.285714285714285,0
0.0,14,2,14.285714285714285,0
0.0,10,0,0.0,0
0.0,2,0,0.0,0
0.0,3,0,0.0,0
0.0,54,4,7.4074074074074066,0
0.0,1,0,0.0,0
0.0,206,10,4.854368932038835,0
0.0,1154,83,7.192374350086656,0
0.0,5,0,0.0,0
0.0,3,1,33.33333333333333,0
0.0,8,0,0.0,0
0.0,2,1,50.0,1
0.0,8,3,37.5,0
0.0,3,0,0.0,0
0.0,15,1,6.666666666666667,0
0.0,3,2,66.66666666666666,1
0.0,3,0,0.0,0
0.0,8,0,0.0,0
0.0,17,1,5.88235294117647,0
0.0,9,0,0.0,0
0.0,8,3,37.5,0
0.0,11,0,0.0,0
0.0,11,0,0.0,0
0.0,11,0,0.0,0
0.0,22,1,4.545454545454546,0
0.0,14,0,0.0,0
0.0,6,0,0.0,0
0.0,12,0,0.0,0
0.0,10,1,10.0,0
0.0,8,3,37.5,0
0.0,8,3,37.5,0
0.0,1,1,100.0,1
0.0,7,0,0.0,0
0.0,3,0,0.0,0
0.0,13,1,7.6923076923076925,0
0.0,2,0,0.0,0
0.0,8,0,0.0,0
0.0,1,0,0.0,0
0.0,11,1,9.090909090909092,0
0.0,6,2,33.33333333333333,0
0.0,16,2,12.5,0
